wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
67.5 2.3279911498156562e-08 4.216322957490125e-09
68.5 5.42223721152924e-08 6.6359226822158724e-09
69.5 4.1082596525840616e-08 7.405374656048082e-09
70.5 9.991129802041303e-08 1.12199625237008e-08
71.5 4.0139062637957277e-08 5.878589660279677e-09
72.5 3.8769081381451193e-08 8.73389990987576e-09
73.5 2.8274211694406372e-08 4.619962442057906e-09
74.5 4.263089103640648e-08 5.848580343764554e-09
75.5 6.06856626013875e-08 7.680079128861439e-09
76.5 1.638298633646193e-07 1.6251054318246655e-08
77.5 1.4480235092417811e-07 1.6854083699043275e-08
78.5 2.197369568593825e-07 2.2579435628515744e-08
79.5 1.5434812874373976e-07 1.8170791710293792e-08
80.5 1.2176051037623798e-07 1.7419286256162408e-08
81.5 1.3139497009473591e-07 1.902293283078297e-08
82.5 1.5925866461839637e-07 2.3910590238231054e-08
83.5 3.947466909408547e-07 4.58488259169307e-08
84.5 2.2613960483518627e-07 3.419856800489733e-08
85.5 2.7208927021725256e-07 4.193179296643315e-08
86.5 3.131460488404784e-07 4.748836418831192e-08
87.5 3.764746656483562e-07 5.7477755575057694e-08
88.5 4.3845778587612777e-07 6.826983187056778e-08
89.5 5.02275209148455e-07 7.813093635497441e-08
90.5 6.003540059416971e-07 9.206353014849512e-08
91.5 5.013709747010717e-07 7.796261468827967e-08
92.5 1.6466888643955667e-07 2.4623144181322177e-08
93.5 1.631626081534093e-07 2.4160508424917968e-08
94.5 1.1348375030674382e-07 1.7122677425617903e-08
95.5 8.613209340568169e-08 1.3439749740218902e-08
96.5 5.9191955248554215e-08 9.222678825393481e-09
97.5 1.086605109993882e-06 2.738576276767182e-07
98.5 1.20630776074067e-07 1.6260386553171716e-08
99.5 1.7187871359788294e-07 2.5521931519550227e-08
100.5 7.02479081301019e-08 1.4946625537110343e-08
101.5 8.66887848027929e-08 1.289568088363929e-08
102.5 6.887581703119747e-07 1.1002709448127071e-07
103.5 5.628693476348678e-07 8.2112377719843e-08
104.5 8.577307810820203e-08 1.7271221717642713e-08
105.5 7.471853499691168e-08 1.2670452364346584e-08
106.5 7.574664933088366e-08 1.2778429996561809e-08
107.5 8.32665956095952e-08 1.3524254915481088e-08
108.5 1.1531743777349279e-07 2.2158861463843982e-08
109.5 8.152772436780192e-08 1.3756597618561297e-08
110.5 8.871391758083974e-08 1.4367738083092757e-08
111.5 7.796474228255579e-08 1.2430765404942074e-08
112.5 7.658986393895384e-08 1.1695450888510693e-08
113.5 4.7067260139208976e-08 7.895698264259172e-09
114.5 5.455942290907116e-08 7.99040819107499e-09
115.5 6.103868990069864e-08 8.274991724790578e-09
116.5 6.821564585376009e-08 8.318461178600793e-09
117.5 2.2006533582417428e-07 3.2662483451308005e-08
118.5 8.114026990655355e-08 1.0001244304039234e-08
119.5 1.2650592274232092e-07 1.9921495972440615e-08
120.5 3.436197847843984e-07 6.80867094592233e-08
121.5 1.3549520200582573e-05 2.2096702737829497e-06
122.5 1.2307711596418073e-07 1.787317436130845e-08
123.5 7.25604604746593e-08 1.0753059543212502e-08
124.5 4.85370465625902e-08 7.323100570928732e-09
125.5 4.11575383891e-08 5.565449793284263e-09
126.5 4.987797601238879e-08 8.41752570664672e-09
127.5 2.4688674518895218e-08 3.262842423167468e-09
128.5 1.77581486873534e-08 2.3107304815029988e-09
129.5 2.2365813665630386e-08 3.1348442011934467e-09
130.5 1.3898887787508202e-07 1.8420276577509533e-08
131.5 2.0652490778987154e-08 2.8748303432554e-09
