wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
34.05 3.742123904370736e-08 1.6610549455428662e-08
34.15 6.164599441399494e-08 3.34844396430317e-08
34.25 5.9331302701190405e-08 3.236960581778367e-08
34.35 4.3982594310388084e-08 1.8058163445148846e-08
34.45 6.329108285902124e-08 2.1677126883239308e-08
34.55 7.34923039700955e-08 2.6845228161649627e-08
34.65 1.059299569164337e-07 4.2964869974543046e-08
34.75 8.963156878724079e-08 6.15921504503376e-08
34.85 1.1497684001244674e-07 6.703338869076389e-08
34.95 8.663462014854145e-08 4.912220263888744e-08
35.05 6.857035945853638e-08 2.964230191619944e-08
35.15 6.855820042977459e-08 3.4170495801316875e-08
35.25 6.508192439524406e-08 4.23864088450783e-08
35.35 7.368291451905716e-08 4.902601401596606e-08
35.45 4.664619128766644e-08 4.073120718551637e-08
35.55 5.2241372526988785e-08 3.8380435507673975e-08
35.65 4.24587501114804e-08 3.3239289630903e-08
35.75 3.832437622135398e-08 2.231492736532613e-08
35.85 3.784207395466603e-08 3.111675277937955e-08
35.95 7.611736565747973e-08 8.911395130339517e-08
36.05 1.4916227320472408e-07 2.1961710357999827e-07
36.15 1.1590770999814217e-07 1.825465500687388e-07
36.25 2.48257380292152e-08 2.9251381855597374e-08
36.35 5.049184111120684e-08 4.777483061234954e-08
36.45 7.673032453982287e-08 6.720102622461679e-08
36.55 6.945852702998735e-08 5.4844952285106086e-08
36.65 1.0963855405575495e-07 3.71827839774478e-08
36.75 2.5593212501353545e-07 8.660866307450903e-08
36.85 2.667610615658876e-07 9.028456070361916e-08
36.95 1.836616042726013e-07 6.212668098258797e-08
37.05 1.7336873750029593e-08 5.867920539458453e-09
37.15 7.1670507737688374e-09 2.447828823146863e-09
37.25 1.0737741116128417e-08 3.642610009424257e-09
37.35 1.7788826337877928e-08 6.013403648172434e-09
37.45 1.7923647748524328e-08 6.05769463227012e-09
37.55 2.272900727736355e-08 7.681392173071746e-09
37.65 1.67251345558881e-08 5.6531920276024945e-09
37.75 1.6921174248904095e-08 5.719553565034242e-09
37.85 1.0848257984833395e-08 3.668453194188393e-09
37.95 9.816712892953864e-09 3.3209457435434153e-09
38.05 1.0108416054664587e-08 3.4195610153696933e-09
38.15 7.306668598738619e-09 2.4725947495265267e-09
38.25 8.501921079983383e-09 2.8809847815943727e-09
38.35 1.0164586209300394e-08 3.441878396596459e-09
38.45 1.1274344924049765e-08 3.9546708714469725e-09
38.55 1.0267301837604645e-08 3.63695649016426e-09
38.65 8.94077798700537e-09 3.031457617266977e-09
38.75 8.384092189976737e-09 2.8524873975173546e-09
38.85 8.430530119818884e-09 3.08618217177241e-09
38.95 1.0977377154233555e-08 7.4098012623504346e-09
39.05 9.945392377288698e-09 6.375640778780578e-09
39.15 9.025609176636794e-09 3.067819549169893e-09
39.25 8.64758175862356e-09 2.941281300278877e-09
39.35 8.817765597948893e-09 3.3401931664384904e-09
39.45 7.973801683848834e-09 2.7149717031847937e-09
39.55 7.389413136621794e-09 2.5175105516636456e-09
39.65 7.021176922171913e-09 2.3929543008305173e-09
39.75 6.193045100322879e-09 2.1122947758562653e-09
39.85 9.498157442976439e-09 3.239896756083789e-09
39.95 1.2841677626060287e-08 4.381581572641102e-09
40.5 1.9448101443226575e-08 4.129388266875522e-09
41.5 1.4012563442175606e-08 7.384990835021857e-09
42.5 1.2690438456397858e-08 2.8619625165086145e-09
43.5 2.720912360970966e-08 4.839759107057108e-09
44.5 1.5808113938955042e-08 4.361747718688474e-09
45.5 1.757535383244716e-08 3.2437178302006377e-09
46.5 4.746336486891115e-08 7.176552987570716e-09
47.5 2.149191283922111e-08 4.209297536160745e-09
48.5 3.355733457732609e-08 7.319497786224965e-09
49.5 4.5225715933003876e-08 1.6805751177177927e-08
50.5 5.093313263778459e-08 1.4648830218380815e-08
51.5 2.079280162977229e-08 6.907576063154238e-09
52.5 2.3860453096212982e-08 9.396784735628918e-09
53.5 2.583195799453222e-08 4.651248903505311e-09
54.5 1.7083833921376902e-08 3.5377528833857505e-09
55.5 1.0172689451674903e-07 1.4815351548245338e-08
56.5 2.48408069214132e-08 4.379149484769204e-09
57.5 2.179618321971454e-08 4.738912133948828e-09
58.5 1.8760481193618877e-07 3.575907519433584e-08
59.5 3.337911910011447e-08 5.959166936409149e-09
60.5 7.882450931100993e-08 2.0200294783346876e-08
61.5 6.538672498972145e-08 1.7579678882268964e-08
62.5 1.8417509179326166e-07 2.982759801787441e-08
63.5 1.6380630964608421e-07 2.322116668925992e-08
64.5 2.3831231034591175e-08 4.4539596065841675e-09
65.5 2.3457487050361832e-08 4.225620949951451e-09
66.5 2.740398819599993e-08 5.066372988554485e-09
67.5 2.331434045667932e-08 4.711465797987584e-09
68.5 5.412442240863512e-08 8.210782192288698e-09
69.5 4.1001262459857365e-08 8.254187264875417e-09
70.5 1.001430268793005e-07 1.4389569421631784e-08
71.5 4.060844557418946e-08 6.9729535196110816e-09
72.5 3.9771317517928094e-08 9.642954495124989e-09
73.5 2.950677802633201e-08 5.499260841205152e-09
74.5 4.531446742461713e-08 7.426206397421401e-09
75.5 6.562968835255903e-08 1.0178304396162735e-08
76.5 1.7966378598291313e-07 2.4020818914576554e-08
77.5 1.6020694289343622e-07 2.3536387002924107e-08
78.5 2.437707352031947e-07 3.3241158262499994e-08
79.5 1.7060957680001287e-07 2.524514341999981e-08
80.5 1.3334253298039053e-07 2.2511779492575886e-08
81.5 1.419545582498453e-07 2.4172355687597345e-08
82.5 1.693538690291157e-07 2.9613612720867355e-08
83.5 4.131892048110188e-07 6.062201257969598e-08
84.5 2.3353448559248752e-07 4.105536403544058e-08
85.5 2.7837378519023094e-07 4.9630092799673725e-08
86.5 3.190077247415463e-07 5.619721984798313e-08
87.5 3.837064162034955e-07 6.793347977044966e-08
88.5 4.4858586393186806e-07 8.059543174149583e-08
89.5 5.164305794005619e-07 9.27175548329302e-08
90.5 6.197184336215491e-07 1.1007915899717897e-07
91.5 5.184113061118503e-07 9.304826037582742e-08
92.5 1.7021298209061914e-07 2.9675423258497073e-08
93.5 1.6862425769473245e-07 2.9188274991796368e-08
94.5 1.1767670798710819e-07 2.0652619023022584e-08
95.5 9.018435980523394e-08 1.6228989730802295e-08
96.5 6.288096431482079e-08 1.1303299346011344e-08
97.5 1.1663086085279921e-06 3.1198538652978525e-07
98.5 1.289175134959863e-07 2.086943689680431e-08
99.5 1.823072169354825e-07 3.162114783199758e-08
100.5 7.606153382660303e-08 1.7439580173246783e-08
101.5 9.390477455427554e-08 1.6322607148355035e-08
102.5 7.405697491532377e-07 1.350728683870034e-07
103.5 6.005523703141095e-07 1.0482202817319811e-07
104.5 9.11863250337464e-08 2.0946823895318162e-08
105.5 7.957931594125596e-08 1.6694643218377525e-08
106.5 8.115729636636458e-08 1.724049152121593e-08
107.5 8.991330685648117e-08 1.8593941162654644e-08
