wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
51.5 2.0897224192359366e-08 6.559302670602124e-09
52.5 2.3345887925159163e-08 8.836221792038334e-09
53.5 2.4583846196571006e-08 3.5267766253628757e-09
54.5 1.607614002076599e-08 2.832439469688546e-09
55.5 9.669589143077655e-08 9.360152976622628e-09
56.5 2.425592323632807e-08 3.3642631171418428e-09
57.5 2.2059712957798487e-08 4.152317314487798e-09
58.5 1.970891717592934e-07 3.0843833054667015e-08
59.5 3.62534411855418e-08 5.131177970043398e-09
60.5 8.791442963131501e-08 2.039795843242295e-08
61.5 7.438660724329104e-08 1.8288177358304725e-08
62.5 2.1271997688998528e-07 2.5515960436204784e-08
63.5 1.917083474770241e-07 1.7418604976600356e-08
64.5 2.826971571952743e-08 4.295668798017641e-09
65.5 2.8241976237417354e-08 4.054460157458384e-09
66.5 3.352101988240974e-08 5.010157955336865e-09
67.5 2.896770466299424e-08 4.932834301414503e-09
68.5 6.816952548988761e-08 7.205730373641259e-09
69.5 5.2146672685069566e-08 8.832293131712553e-09
70.5 1.2793629295702165e-07 1.2005952561519978e-08
71.5 5.18026148528353e-08 6.8811086273796266e-09
72.5 5.0373480034712566e-08 1.0914495532030452e-08
73.5 3.694136050427753e-08 5.5895689252427596e-09
74.5 5.5938783051209934e-08 6.854917773404338e-09
75.5 7.988107455941116e-08 8.827353667624621e-09
76.5 2.1613722966629052e-07 1.67907019574466e-08
77.5 1.9136551284094762e-07 1.88889752683011e-08
78.5 2.9088094367006415e-07 2.3906023499703302e-08
79.5 2.047454369777492e-07 2.0530616066171425e-08
80.5 1.619831547071491e-07 2.090908790145984e-08
81.5 1.7548932495912722e-07 2.2985569872778113e-08
82.5 2.1377610037785813e-07 2.9261954453296186e-08
83.5 5.33024021829334e-07 5.245796260657801e-08
84.5 3.0730821002807415e-07 4.243217911515118e-08
85.5 3.720508760144265e-07 5.2544140028907476e-08
86.5 4.3047526331724205e-07 5.963741183053783e-08
87.5 5.195150185034698e-07 7.255501580124939e-08
88.5 6.062820166613465e-07 8.667778969647437e-08
89.5 6.948748583653784e-07 9.922972161672138e-08
90.5 8.304979610359543e-07 1.1659927887501156e-07
91.5 6.942644461772413e-07 9.910081864878255e-08
92.5 2.2898261107320352e-07 3.1191286388910046e-08
93.5 2.2903766363546575e-07 3.083260268105329e-08
94.5 1.6179668009754535e-07 2.2279157556038836e-08
95.5 1.252473938551641e-07 1.795141682125753e-08
96.5 8.758584606820648e-08 1.2531847526648947e-08
97.5 1.6158915425930062e-06 3.9486918278578605e-07
98.5 1.771347706246723e-07 2.123035759514719e-08
99.5 2.491319647041288e-07 3.3650464368527435e-08
100.5 1.0711281912361412e-07 2.193272483328899e-08
101.5 1.274642098536016e-07 1.7240681288058402e-08
102.5 1.0177547213777307e-06 1.505892892369408e-07
103.5 8.304881145129712e-07 1.0755038793928208e-07
104.5 1.2366811057213428e-07 2.2864169357565856e-08
105.5 1.033555964648258e-07 1.481843401802203e-08
106.5 9.984256629599584e-08 1.3908812283306352e-08
107.5 1.0510546507071466e-07 1.3903164639108401e-08
108.5 1.4097164657489872e-07 2.382646330780482e-08
109.5 9.75761963946516e-08 1.3929211287667673e-08
110.5 1.0461472308951695e-07 1.4011930786665259e-08
111.5 9.070004955074204e-08 1.1722425858167672e-08
112.5 8.775066096489475e-08 1.0534033442709167e-08
113.5 5.3026560307976356e-08 7.411757287682673e-09
114.5 6.04656137763708e-08 6.976145067220517e-09
115.5 6.663735027650177e-08 6.738041058325244e-09
116.5 7.335036746632765e-08 5.7009904066053535e-09
117.5 2.3254605355506975e-07 2.6561584061952525e-08
118.5 8.435566955284074e-08 7.4197975525375176e-09
119.5 1.3084431329291831e-07 1.4784706991927899e-08
120.5 3.430066956489211e-07 6.015997181971602e-08
121.5 1.3459897593318044e-05 1.8105940414954429e-06
122.5 1.2082099789724594e-07 1.3555911478646447e-08
123.5 6.995490689684759e-08 8.116526354965328e-09
124.5 4.5703635966480445e-08 5.45851691606529e-09
125.5 3.766573973384904e-08 3.726008090832271e-09
126.5 4.416769587738632e-08 6.243275980195212e-09
127.5 2.10702629813222e-08 1.9951029975724193e-09
128.5 1.45551832842237e-08 1.3364671344117774e-09
129.5 1.7552172338416684e-08 1.852932744809048e-09
130.5 1.0417425413554559e-07 9.917579027259588e-09
131.5 1.4755382819240142e-08 1.5388284707730083e-09
132.5 1.0251753185620609e-08 1.0386930728425932e-09
133.5 8.514192262956615e-08 1.0854267300415964e-08
134.5 7.130185165305444e-09 7.654528275667665e-10
135.5 1.4382813590362539e-08 1.119477665497093e-09
136.5 7.721661782619125e-09 6.799792433317583e-10
137.5 7.247120105687534e-09 6.695782675533742e-10
138.5 6.3229621375188216e-09 5.316936390465831e-10
139.5 1.4324673230007455e-08 1.755600213249472e-09
140.5 1.0816308937655242e-08 1.1314259401619514e-09
141.5 5.632790500660107e-09 4.679256813070766e-10
142.5 5.351812176561921e-09 4.77165015866662e-10
143.5 5.21149372449782e-09 4.046653972924412e-10
144.5 4.479742546841978e-09 3.639151861102306e-10
